chunker,noise_level,num_queries,hit_at_1,hit_at_5,mrr_at_100,evaluation_set
fixed,clean,5277,0.5133598635588402,0.7388667803676331,0.6166912138253591,context_verified
fixed,mild,5277,0.49971574758385445,0.7324237256016676,0.6045272971266049,context_verified
fixed,moderate,5277,0.48493462194428655,0.7208641273450824,0.5914533738798265,context_verified
fixed,severe,5277,0.46560545764639,0.7011559598256585,0.5738613465524165,context_verified
recursive,clean,5277,0.5152548796664772,0.7462573431874171,0.6201189925084537,context_verified
recursive,mild,5277,0.4917566799317794,0.7301497062725033,0.5995109503396273,context_verified
recursive,moderate,5277,0.47849156717832103,0.7127155580822437,0.5846181476583399,context_verified
recursive,severe,5277,0.45802539321584235,0.697176425999621,0.5653258317620287,context_verified
semantic,clean,5277,0.50615880234982,0.7390562819783968,0.6123275709526089,context_verified
semantic,mild,5277,0.5101383361758575,0.743225317415198,0.612667699514675,context_verified
semantic,moderate,5277,0.4824711010043585,0.7237066515065378,0.5910131953981429,context_verified
semantic,severe,5277,0.4587833996588971,0.6985029372749668,0.5685179726081319,context_verified
structure,clean,5277,0.5101383361758575,0.7415198029183248,0.613946534751518,context_verified
structure,mild,5277,0.4830396058366496,0.7216221337881372,0.5909811591342352,context_verified
structure,moderate,5277,0.46674246731097213,0.7047564904301686,0.5749173256440837,context_verified
structure,severe,5277,0.4561303771082054,0.6943339018381657,0.5636991037288285,context_verified
