evaluation_set,chunker,noise_level,metric,clean_value,noisy_value,absolute_degradation,relative_degradation_percent
primary,fixed,mild,hit_at_1,0.5364238410596026,0.522469252601703,0.013954588457899653,2.601410934744256
primary,fixed,mild,hit_at_5,0.7593424787133396,0.7514191106906338,0.007923368022705768,1.0434511758293097
primary,fixed,mild,mrr_at_100,0.6378342546915119,0.6250872488868138,0.01274700580469812,1.9984824758060697
primary,fixed,moderate,hit_at_1,0.5364238410596026,0.5082781456953642,0.028145695364238388,5.246913580246909
primary,fixed,moderate,hit_at_5,0.7593424787133396,0.7385288552507095,0.02081362346263005,2.7410060738202726
primary,fixed,moderate,mrr_at_100,0.6378342546915119,0.612381299606874,0.02545295508463785,3.9905280874179696
primary,fixed,severe,hit_at_1,0.5364238410596026,0.49065752128666035,0.045766319772942265,8.531746031746028
primary,fixed,severe,hit_at_5,0.7593424787133396,0.7193708609271523,0.0399716177861873,5.263977573586666
primary,fixed,severe,mrr_at_100,0.6378342546915119,0.5946663894822739,0.04316786520923799,6.767881293881919
primary,recursive,mild,hit_at_1,0.5359508041627247,0.5082781456953642,0.027672658467360445,5.163283318623123
primary,recursive,mild,hit_at_5,0.7658467360454115,0.7436140018921475,0.02223273415326399,2.9030265596046987
primary,recursive,mild,mrr_at_100,0.6391643446742132,0.6142847327317552,0.024879611942458024,3.892521876378969
primary,recursive,moderate,hit_at_1,0.5359508041627247,0.4911305581835383,0.04482024597918638,8.362753751103266
primary,recursive,moderate,hit_at_5,0.7658467360454115,0.7243377483443708,0.04150898770104072,5.420012353304515
primary,recursive,moderate,mrr_at_100,0.6391643446742132,0.5973183027168046,0.0418460419574086,6.546992538943616
primary,recursive,severe,hit_at_1,0.5359508041627247,0.4755203405865657,0.060430463576158944,11.275375110326568
primary,recursive,severe,hit_at_5,0.7658467360454115,0.7093188268684958,0.05652790917691575,7.381099444101291
primary,recursive,severe,mrr_at_100,0.6391643446742132,0.580392642318549,0.0587717023556642,9.195084620313194
primary,semantic,mild,hit_at_1,0.5260170293282876,0.5285004730368968,-0.002483443708609201,-0.47212230215825995
