evaluation_set,chunker,noise_level,metric,clean_value,noisy_value,absolute_degradation,relative_degradation_percent
context_verified,semantic,moderate,hit_at_5,0.7390562819783968,0.7237066515065378,0.015349630471859,2.0769230769230753
context_verified,semantic,moderate,mrr_at_100,0.6123275709526089,0.5910131953981429,0.021314375554466025,3.480877975379562
context_verified,semantic,severe,hit_at_1,0.50615880234982,0.4587833996588971,0.04737540269092294,9.359790340696382
context_verified,semantic,severe,hit_at_5,0.7390562819783968,0.6985029372749668,0.04055334470342997,5.4871794871794854
context_verified,semantic,severe,mrr_at_100,0.6123275709526089,0.5685179726081319,0.04380959834447706,7.15460162545379
context_verified,structure,mild,hit_at_1,0.5101383361758575,0.4830396058366496,0.027098730339207844,5.312035661218418
context_verified,structure,mild,hit_at_5,0.7415198029183248,0.7216221337881372,0.019897669130187534,2.683363148479418
context_verified,structure,mild,mrr_at_100,0.613946534751518,0.5909811591342352,0.022965375617282735,3.7406149098272037
context_verified,structure,moderate,hit_at_1,0.5101383361758575,0.46674246731097213,0.043395868864885334,8.506686478454677
context_verified,structure,moderate,hit_at_5,0.7415198029183248,0.7047564904301686,0.03676331248815612,4.957832864809605
context_verified,structure,moderate,mrr_at_100,0.613946534751518,0.5749173256440837,0.03902920910743424,6.357102271654729
context_verified,structure,severe,hit_at_1,0.5101383361758575,0.4561303771082054,0.054007959067652045,10.586924219910841
context_verified,structure,severe,hit_at_5,0.7415198029183248,0.6943339018381657,0.047185901080159076,6.3634040378226295
context_verified,structure,severe,mrr_at_100,0.613946534751518,0.5636991037288285,0.05024743102268947,8.184333354536493
