chunker,noise_level,num_queries,hit_at_1,hit_at_5,mrr_at_100,evaluation_set
fixed,clean,8456,0.5364238410596026,0.7593424787133396,0.6378342546915119,primary
fixed,mild,8456,0.522469252601703,0.7514191106906338,0.6250872488868138,primary
fixed,moderate,8456,0.5082781456953642,0.7385288552507095,0.612381299606874,primary
fixed,severe,8456,0.49065752128666035,0.7193708609271523,0.5946663894822739,primary
recursive,clean,8456,0.5359508041627247,0.7658467360454115,0.6391643446742132,primary
recursive,mild,8456,0.5082781456953642,0.7436140018921475,0.6142847327317552,primary
recursive,moderate,8456,0.4911305581835383,0.7243377483443708,0.5973183027168046,primary
recursive,severe,8456,0.4755203405865657,0.7093188268684958,0.580392642318549,primary
semantic,clean,8456,0.5260170293282876,0.7594607379375591,0.631357344857953,primary
semantic,mild,8456,0.5285004730368968,0.7601702932828761,0.6304405435339503,primary
semantic,moderate,8456,0.4985808893093661,0.739120151371807,0.6060619687545543,primary
semantic,severe,8456,0.4771759697256386,0.7112109744560076,0.5844874434765969,primary
structure,clean,8456,0.5322847682119205,0.7653736991485336,0.6354267592848858,primary
structure,mild,8456,0.5011825922421949,0.7390018921475875,0.6089832374974773,primary
structure,moderate,8456,0.48379848628193,0.7236281929990539,0.5923182265873101,primary
structure,severe,8456,0.47090823084200567,0.7077814569536424,0.577620361579281,primary
