run_id,noise_level,chunker,num_documents,num_pages,num_chunks,mean_chunk_tokens,median_chunk_tokens,std_chunk_tokens,min_chunk_tokens,max_chunk_tokens,chunking_time_sec,embedding_time_sec,index_build_time_sec,query_embedding_time_sec,total_retrieval_time_sec,mean_query_latency_ms,median_query_latency_ms,peak_memory_mb,index_size_bytes,status
ohrbench_minilm_254_v1,clean,fixed,1261,8561,39508,250.09909057617188,254.0,24.61835289001465,8,254,62.858231639987935,1203.4331227479634,0.3686969940426934,0.0,17.79294103702705,2.1041794036219312,2.046083001914667,1439.96875,60684333,complete
ohrbench_minilm_254_v1,mild,fixed,1261,8561,44049,250.5684051513672,254.0,22.947187423706055,8,254,66.97252800102433,1336.7266211429703,0.3634249020215065,0.0,20.566369185155057,2.4321628648480433,2.278582998769707,1407.078125,67659309,complete
ohrbench_minilm_254_v1,moderate,fixed,1261,8561,51322,251.16741943359375,254.0,20.449119567871097,12,254,73.7887091860066,1536.3805704510269,0.4044932010365301,0.0,23.875402572935855,2.823486586203389,2.636729499499779,1321.984375,78830637,complete
ohrbench_minilm_254_v1,severe,fixed,1261,8561,55070,251.29100036621097,254.0,20.1757869720459,8,254,76.7359554919858,1652.968243826057,0.430088223049097,0.0,28.739583582872,3.3987208589016085,3.1605414988007396,1704.953125,84587565,complete
ohrbench_minilm_254_v1,clean,recursive,1261,8561,56859,155.41763305664062,192.0,82.38153839111328,1,254,111.62787596399596,1738.4895202109965,0.3544038620076435,0.0,25.486632529972212,3.014029390961709,2.8542294999169826,1018.0,87335469,complete
ohrbench_minilm_254_v1,mild,recursive,1261,8561,59006,170.8223876953125,210.0,84.02385711669922,1,254,135.37537435599506,1892.784703857987,0.3743707949884083,0.0,27.456302866009537,3.246961076869624,3.3403959996576305,1261.640625,90633261,complete
ohrbench_minilm_254_v1,moderate,recursive,1261,8561,66751,179.51600646972656,227.0,84.1488265991211,1,254,190.1984561390273,2104.8814564490112,0.4254132600299272,0.0,29.877142040965737,3.533247639660092,3.340625000419095,1153.578125,102529581,complete
ohrbench_minilm_254_v1,severe,recursive,1261,8561,71253,180.9548187255859,223.0,83.05146026611328,1,254,241.21921891300917,2265.8660122850224,0.4456516659829503,0.0,32.080594258060955,3.793826189458486,3.640937500676955,1101.15625,109444653,complete
ohrbench_minilm_254_v1,clean,semantic,1261,8561,46550,185.96775817871097,225.0,67.03291320800781,1,254,1680.0809749229466,1462.695586446005,0.3377073339925118,0.0,21.27612044900161,2.516097498699339,2.35845849965699,1237.453125,71500845,complete
ohrbench_minilm_254_v1,mild,semantic,1261,8561,50895,189.9571990966797,224.0,63.8579216003418,1,254,1879.7239675510357,1628.872310576042,0.3198142919682141,0.0,23.128377051978532,2.735143927622816,2.5853335009742295,1336.359375,78174765,complete
ohrbench_minilm_254_v1,moderate,semantic,1261,8561,58157,194.09957885742188,225.0,61.23184585571289,1,254,2218.8968819329784,1871.1123137818213,0.4102117749825993,0.0,25.47337816185245,3.012461939670347,2.909895500124549,1235.640625,89329197,complete
ohrbench_minilm_254_v1,severe,semantic,1261,8561,61987,195.46910095214844,227.0,60.98859786987305,1,254,2464.139935093044,1975.5522233689917,0.4636365930527972,0.0,33.35575667597004,3.9446259077542623,4.120312501981971,1011.40625,95212077,complete
ohrbench_minilm_254_v1,clean,structure,1261,8561,50917,170.00534057617188,204.0,71.4940414428711,1,254,128.6550112680343,1618.6099757980592,0.3429528169581317,0.0,23.542731812776765,2.784145200186467,2.858146501239389,966.890625,78208557,complete
ohrbench_minilm_254_v1,mild,structure,1261,8561,54457,177.51776123046875,209.0,74.76631927490234,1,254,159.09243482793318,1734.075818765894,0.3525285009891377,0.0,24.275442815047427,2.8707950348920797,2.71950000023935,1095.09375,83645997,complete
ohrbench_minilm_254_v1,moderate,structure,1261,8561,70213,160.76609802246094,196.0,84.06263732910156,1,254,206.4918362088938,2215.421958090097,0.3426251800046884,0.0,30.87529196111427,3.651288074871603,3.4735000008367933,1434.59375,107847213,complete
ohrbench_minilm_254_v1,severe,structure,1261,8561,76962,157.41261291503906,186.0,84.7752914428711,1,254,230.88999137613428,2412.217880788943,0.3755225930071901,0.0,33.63452898223477,3.977593304427007,3.7933749990770593,1684.65625,118213677,complete
