evaluation_set,statistic,chunker,noise_level,metric,estimate,ci_95_low,ci_95_high,bootstrap_iterations,seed
primary,mean,structure,clean,mrr_at_100,0.6354268193244934,0.6267486423254013,0.6442223593592644,5000,20260913
primary,mean,structure,mild,hit_at_1,0.5011826157569885,0.49042099714279175,0.5117106199264526,5000,20260913
primary,mean,structure,mild,hit_at_5,0.7390018701553345,0.7296564817428589,0.7484626173973083,5000,20260913
primary,mean,structure,mild,mrr_at_100,0.6089832782745361,0.6001153603196144,0.6177850142121315,5000,20260913
primary,mean,structure,moderate,hit_at_1,0.48379847407341003,0.47291862964630127,0.4943235516548157,5000,20260913
primary,mean,structure,moderate,hit_at_5,0.7236281633377075,0.7144039869308472,0.7328523993492126,5000,20260913
primary,mean,structure,moderate,mrr_at_100,0.5923182368278503,0.5832101538777351,0.6011553585529328,5000,20260913
primary,mean,structure,severe,hit_at_1,0.4709082245826721,0.4603831470012665,0.4813150465488434,5000,20260913
primary,mean,structure,severe,hit_at_5,0.7077814340591431,0.6978476643562317,0.7177152037620544,5000,20260913
primary,mean,structure,severe,mrr_at_100,0.5776203870773315,0.5685572445392608,0.5861822381615639,5000,20260913
primary,absolute_degradation,fixed,mild,hit_at_1,0.013954579830169678,0.005203424394130707,0.023178815841674805,5000,20260913
primary,absolute_degradation,fixed,mild,hit_at_5,0.007923364639282227,0.0010643601417541504,0.015137195587158203,5000,20260913
primary,absolute_degradation,fixed,mild,mrr_at_100,0.012746989727020264,0.0066423699259758,0.0190099373459816,5000,20260913
primary,absolute_degradation,fixed,moderate,hit_at_1,0.02814573049545288,0.018211959302425383,0.03772768825292583,5000,20260913
primary,absolute_degradation,fixed,moderate,hit_at_5,0.02081364393234253,0.012653768062591553,0.028855204582214355,5000,20260913
primary,absolute_degradation,fixed,moderate,mrr_at_100,0.02545297145843506,0.018443907797336578,0.032225868105888365,5000,20260913
primary,absolute_degradation,fixed,severe,hit_at_1,0.045766353607177734,0.03618732020258904,0.055936604738235474,5000,20260913
primary,absolute_degradation,fixed,severe,hit_at_5,0.03997164964675903,0.03181171417236328,0.0482527375221252,5000,20260913
primary,absolute_degradation,fixed,severe,mrr_at_100,0.043167829513549805,0.036127631366252896,0.050295025110244744,5000,20260913
primary,absolute_degradation,recursive,mild,hit_at_1,0.027672648429870605,0.018208946287631988,0.03713339567184448,5000,20260913
primary,absolute_degradation,recursive,mild,hit_at_5,0.02223271131515503,0.014897669851779939,0.029449556767940477,5000,20260913
primary,absolute_degradation,recursive,mild,mrr_at_100,0.02487969398498535,0.018043826520442962,0.03148036450147628,5000,20260913
primary,absolute_degradation,recursive,moderate,hit_at_1,0.04482021927833557,0.034649938344955444,0.054754048585891724,5000,20260913
primary,absolute_degradation,recursive,moderate,hit_at_5,0.04150897264480591,0.03346735239028931,0.04990541934967041,5000,20260913
primary,absolute_degradation,recursive,moderate,mrr_at_100,0.04184603691101074,0.03449054509401321,0.048969824612140646,5000,20260913
primary,absolute_degradation,recursive,severe,hit_at_1,0.060430437326431274,0.05037841200828552,0.07060074806213379,5000,20260913
primary,absolute_degradation,recursive,severe,hit_at_5,0.056527912616729736,0.04789501279592514,0.06504255533218384,5000,20260913
primary,absolute_degradation,recursive,severe,mrr_at_100,0.058771729469299316,0.05137736052274704,0.06632584035396576,5000,20260913
primary,absolute_degradation,semantic,mild,hit_at_1,-0.0024834871292114258,-0.011589407920837402,0.006507252156734424,5000,20260913
primary,absolute_degradation,semantic,mild,hit_at_5,-0.00070953369140625,-0.0074503421783447266,0.006031215190887451,5000,20260913
primary,absolute_degradation,semantic,mild,mrr_at_100,0.000916898250579834,-0.005257943272590637,0.0071177542209625196,5000,20260913
primary,absolute_degradation,semantic,moderate,hit_at_1,0.027436107397079468,0.017857134342193604,0.03736990764737129,5000,20260913
primary,absolute_degradation,semantic,moderate,hit_at_5,0.02034062147140503,0.012771964073181152,0.02826392650604248,5000,20260913
primary,absolute_degradation,semantic,moderate,mrr_at_100,0.025295376777648926,0.018535256385803223,0.0324365422129631,5000,20260913
primary,absolute_degradation,semantic,severe,hit_at_1,0.04884102940559387,0.03938031196594238,0.05865657329559326,5000,20260913
primary,absolute_degradation,semantic,severe,hit_at_5,0.048249781131744385,0.04032641649246216,0.05640965700149536,5000,20260913
primary,absolute_degradation,semantic,severe,mrr_at_100,0.04686993360519409,0.039955006539821626,0.05392210930585861,5000,20260913
primary,absolute_degradation,structure,mild,hit_at_1,0.03110218048095703,0.02152022123336792,0.04091769456863403,5000,20260913
